Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 32000, 1, 2, 512, 1.00929, 1.45373, N/A, 0.206405, 0.279778, 16.191, 0.72599, 2, 2, 1, 2, 2, 1, 53.7937, 2, 2, 2, 1, 4, 1, 71.396, 
90, 64000, 1, 2, 512, 1.10014, 1.58448, N/A, 0.236396, 0.39188, 31.6823, 1.14773, 2, 2, 1, 2, 2, 1, 67.8481, 2, 2, 2, 1, 4, 1, 76.878, 
90, 128000, 1, 2, 512, 1.4391, 1.85538, N/A, 0.301377, 0.605305, 62.2746, 2.21558, 2, 2, 1, 2, 2, 1, 78.0814, 2, 2, 4, 1, 8, 1, 78.0319, 
90, 128000, 1, 2, 512, 1.4391, 1.85538, N/A, 0.301377, 0.605305, 62.2746, 2.21558, 2, 2, 1, 2, 2, 1, 78.0814, 2, 2, 4, 1, 8, 1, 78.0319, 
90, 256000, 1, 2, 512, 2.23611, 2.41515, N/A, 0.421109, 1.03976, 123.626, 4.07083, 2, 2, 1, 2, 2, 1, 84.4612, 2, 2, 4, 1, 8, 1, 81.5754, 
90, 512000, 1, 2, 512, 2.58048, 3.88009, N/A, 0.798697, 0.978172, 235.364, 9.87093, 2, 4, 2, 4, 2, 1, 66.7408, 2, 2, 8, 1, 16, 1, 84.0854, 
90, 1000000, 1, 2, 512, 3.54759, 3.86812, N/A, 1.20316, 1.37711, 459.422, 20.5695, 2, 8, 2, 4, 2, 1, 61.535, 2, 2, 8, 1, 16, 1, 85.8192, 
90, 1000000, 1, 2, 512, 3.54759, 3.86812, N/A, 1.20316, 1.37711, 459.422, 20.5695, 2, 8, 2, 4, 2, 1, 61.535, 2, 2, 8, 1, 16, 1, 85.8192, 
45, 1000000, 1, 2, 512, 1.84607, 2.63989, N/A, 0.376561, 0.413573, 1193.57, 5.1405, 2, 8, 2, 4, 2, 1, 61.557, 2, 2, 8, 1, 16, 1, 85.8277, 
45, 512000, 1, 2, 512, 1.38959, 2.64592, N/A, 0.256102, 0.29596, 611.448, 2.46685, 2, 4, 2, 4, 2, 1, 66.7642, 2, 2, 8, 1, 16, 1, 84.097, 
45, 256000, 1, 2, 512, 1.02563, 1.04565, N/A, 0.160856, 0.248657, 321.809, 1.42652, 2, 4, 1, 2, 2, 1, 56.8634, 2, 2, 4, 1, 8, 1, 81.5916, 
45, 128000, 1, 2, 512, 0.712282, 1.04565, N/A, 0.0991042, 0.185489, 161.371, 0.553683, 2, 2, 1, 2, 2, 1, 78.11, 2, 2, 4, 1, 8, 1, 78.0547, 
45, 64000, 1, 2, 512, 0.527409, 0.910836, N/A, 0.0753825, 0.119631, 82.0414, 0.286726, 2, 2, 1, 2, 2, 1, 67.8901, 2, 2, 2, 1, 4, 1, 76.9573, 
45, 32000, 1, 2, 512, 0.44249, 0.847108, N/A, 0.0642845, 0.0850409, 41.8883, 0.181308, 2, 2, 1, 2, 2, 1, 53.8457, 2, 2, 2, 1, 4, 1, 71.4674, 
45, 32000, 1, 2, 512, 0.44249, 0.847108, N/A, 0.0642845, 0.0850409, 41.8883, 0.181308, 2, 2, 1, 2, 2, 1, 53.8457, 2, 2, 2, 1, 4, 1, 71.4674, 
